building_id, mean_temp         , std_temp         , pct_above_18      , pct_below_15
      10000, 13.042067371758197, 6.423435692397665, 26.682579291888175, 63.51849842682
      10009,  9.350728099730171, 6.028797158989926, 13.508895366368478, 80.23293798371695
      10014, 11.872093894050286, 7.553608899755408, 28.38195476476456 , 63.89120742655891
      10019, 11.870426787637559, 7.548826676032477, 28.347626168604588, 63.91084526098412
      10029,  9.758135930970678, 6.570699884845629, 16.61266343917966 , 76.69347768078374
      10031, 10.9898347957675  , 6.483129438624151, 20.16910703237781 , 71.65689538343693
      10051, 13.087961338688569, 6.019681266555388, 25.2589246364037  , 64.00763919494638
      10053, 10.35691289702475 , 6.567944471230811, 18.54724964739069 , 74.8898095909732
      10056, 14.040454938290345, 6.194763011811593, 31.049709815796113, 58.029631231750834
      10064, 10.45261166753287 , 7.074828678130697, 20.446610062342565, 72.79880177788152
      10075, 11.17563409920765 , 7.049878145364277, 22.547698966522393, 69.96400494655948
      10079, 12.230174454391388, 7.538159883808928, 29.03837777670232 , 62.244591782413
      10080, 12.730485826464738, 7.498633800324436, 30.988233680477318, 59.64377737065376
      10082, 13.057569764729081, 7.255536996128871, 30.76288464273861 , 58.543454554075204
      10083, 14.941541203892978, 7.19509755655837 , 41.360225560544805, 48.811779272895436
      10084, 14.31732147808267 , 7.310073879840297, 37.75184460171661 , 53.71781358229183
      10085, 14.979800979428367, 7.385379450108588, 41.92660938756507 , 48.66325249361606
      10086, 11.661218461882918, 7.294681772189059, 25.723537941034312, 65.67907201546642
      10087, 12.198390522423326, 7.546603910279667, 29.092412186346255, 62.213120144297164
      10089, 11.327312087110768, 7.524447157093107, 25.52414817056448 , 66.60015320163036
